#SampleID	Description	Env	SourceSink	Study	Details
CF3	Inceptisol 2	Soil	source	88_Soils	NA
HF2	Inceptisol 3	Soil	source	88_Soils	NA
IE2	Inceptisol 4	Soil	source	88_Soils	NA
LQ2	Inceptisol 5	Soil	source	88_Soils	NA
MP2	Inceptisol 6	Soil	source	88_Soils	NA
MT1	Inceptisol 7	Soil	source	88_Soils	NA
PE1	Inceptisol 8	Soil	source	88_Soils	NA
SB1	Inceptisol 9	Soil	source	88_Soils	NA
CM1	Mollisol 1	Soil	source	88_Soils	NA
SN1	Inceptisol 10	Soil	source	88_Soils	NA
SN3	Inceptisol 11	Soil	source	88_Soils	NA
SP1	Inceptisol 12	Soil	source	88_Soils	NA
CO3	Mollisol 2	Soil	source	88_Soils	NA
CR1	Mollisol 3	Soil	source	88_Soils	NA
GB5	Mollisol 4	Soil	source	88_Soils	NA
KP4	Mollisol 5	Soil	source	88_Soils	NA
RT1	Mollisol 6	Soil	source	88_Soils	NA
RT2	Mollisol 7	Soil	source	88_Soils	NA
SK1	Mollisol 8	Soil	source	88_Soils	NA
SK3	Mollisol 9	Soil	source	88_Soils	NA
SR2	Mollisol 10	Soil	source	88_Soils	NA
VC2	Mollisol 11	Soil	source	88_Soils	NA
AR1	Oxisol 1	Soil	source	88_Soils	NA
PE7	Oxisol 2	Soil	source	88_Soils	NA
BB2	Spodosol 1	Soil	source	88_Soils	NA
IT2	Spodosol 2	Soil	source	88_Soils	NA
CL3	Ultisol 	Soil	source	88_Soils	NA
